          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.357    1.58128E+00    4.07589E-02    1.39241E-03    7.13735E-05    1.01049E-02    2.14921E-06    1.63361E+00
        0.455    1.92059E+00    6.99096E-02    2.99478E-03    1.53847E-04    1.29211E-02    5.75821E-06    2.00658E+00
        0.553    2.11355E+00    9.89922E-02    5.11781E-03    2.63756E-04    1.54492E-02    1.18156E-05    2.23339E+00
        0.651    2.17321E+00    1.24265E-01    7.54293E-03    3.90161E-04    1.75822E-02    2.04011E-05    2.32301E+00
        0.751    2.12674E+00    1.43422E-01    1.00058E-02    5.19640E-04    1.92690E-02    3.11230E-05    2.29999E+00
        0.850    2.00678E+00    1.55394E-01    1.22266E-02    6.37697E-04    2.04870E-02    4.30250E-05    2.19557E+00
        0.949    1.84086E+00    1.60593E-01    1.40469E-02    7.35969E-04    2.12828E-02    5.52358E-05    2.03758E+00
        1.049    1.65099E+00    1.59854E-01    1.53579E-02    8.08488E-04    2.17012E-02    6.67856E-05    1.84877E+00
        1.148    1.45438E+00    1.54360E-01    1.61185E-02    8.52671E-04    2.17957E-02    7.67924E-05    1.64759E+00
        1.249    1.26229E+00    1.45381E-01    1.63537E-02    8.69407E-04    2.16251E-02    8.46697E-05    1.44660E+00
        1.349    1.08366E+00    1.34223E-01    1.61319E-02    8.61853E-04    2.12510E-02    9.00496E-05    1.25622E+00
        1.449    9.19782E-01    1.21735E-01    1.55381E-02    8.34232E-04    2.07207E-02    9.29609E-05    1.07870E+00
        1.549    7.75476E-01    1.08964E-01    1.46795E-02    7.91916E-04    2.00913E-02    9.35148E-05    9.20096E-01
        1.649    6.49301E-01    9.63935E-02    1.36424E-02    7.39390E-04    1.93979E-02    9.20568E-05    7.79566E-01
        1.749    5.40420E-01    8.44311E-02    1.25047E-02    6.80757E-04    1.86720E-02    8.89684E-05    6.56797E-01
        1.849    4.47571E-01    7.33462E-02    1.13315E-02    6.19493E-04    1.79389E-02    8.46560E-05    5.50891E-01
        1.949    3.68899E-01    6.32507E-02    1.01681E-02    5.58090E-04    1.72147E-02    7.94894E-05    4.60170E-01
