          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.357    1.00631E+00    2.63457E-02    1.04576E-03    4.68748E-05    8.80327E-03    1.64037E-06    1.04255E+00
        0.454    1.22288E+00    4.52289E-02    2.25178E-03    1.01150E-04    1.12693E-02    4.40052E-06    1.28174E+00
        0.553    1.34601E+00    6.40715E-02    3.85048E-03    1.73509E-04    1.34851E-02    9.03650E-06    1.42760E+00
        0.651    1.38403E+00    8.04053E-02    5.67215E-03    2.56519E-04    1.53521E-02    1.55906E-05    1.48573E+00
        0.751    1.35423E+00    9.28520E-02    7.53289E-03    3.42041E-04    1.68389E-02    2.38262E-05    1.47182E+00
        0.850    1.27787E+00    1.00564E-01    9.19823E-03    4.19439E-04    1.79063E-02    3.29032E-05    1.40599E+00
        0.949    1.17192E+00    1.03915E-01    1.05674E-02    4.84070E-04    1.86081E-02    4.22464E-05    1.30554E+00
        1.049    1.05131E+00    1.03421E-01    1.15477E-02    5.31485E-04    1.89774E-02    5.10349E-05    1.18584E+00
        1.148    9.26276E-01    9.98622E-02    1.21165E-02    5.60391E-04    1.90645E-02    5.86559E-05    1.05794E+00
        1.249    8.04090E-01    9.40553E-02    1.22914E-02    5.71305E-04    1.89199E-02    6.46522E-05    9.29993E-01
        1.348    6.90337E-01    8.68340E-02    1.21231E-02    5.66280E-04    1.85965E-02    6.87474E-05    8.08526E-01
        1.449    5.85802E-01    7.87384E-02    1.16745E-02    5.48034E-04    1.81350E-02    7.09589E-05    6.94968E-01
        1.549    4.93999E-01    7.04827E-02    1.10283E-02    5.20197E-04    1.75876E-02    7.13657E-05    5.93689E-01
        1.649    4.13551E-01    6.23399E-02    1.02466E-02    4.85593E-04    1.69824E-02    7.02365E-05    5.03676E-01
        1.749    3.44229E-01    5.46024E-02    9.39080E-03    4.47036E-04    1.63491E-02    6.78653E-05    4.25086E-01
        1.849    2.85018E-01    4.74212E-02    8.50699E-03    4.06692E-04    1.57081E-02    6.45558E-05    3.57125E-01
        1.949    2.34932E-01    4.08924E-02    7.63231E-03    3.66334E-04    1.50756E-02    6.06015E-05    2.98959E-01
