          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.000    1.07488E-07    0.00000E+00    0.00000E+00    0.00000E+00    5.67219E-06    0.00000E+00    5.77968E-06
        0.060    3.35874E-02    6.70709E-05    1.47324E-06    7.92688E-08    1.17779E-03    1.54502E-09    3.48339E-02
        0.120    1.15566E-01    1.31250E-04    2.65331E-06    1.18915E-07    2.39520E-03    1.46227E-09    1.18095E-01
        0.180    2.23049E-01    1.59064E-03    4.40002E-05    1.74824E-06    3.74704E-03    4.27567E-08    2.28432E-01
        0.240    3.38996E-01    4.97550E-03    1.75867E-04    7.00961E-06    5.19643E-03    2.21130E-07    3.49351E-01
        0.300    4.51357E-01    1.00604E-02    4.28020E-04    1.71735E-05    6.69642E-03    6.50740E-07    4.68559E-01
        0.360    5.52204E-01    1.63285E-02    8.11312E-04    3.27502E-05    8.20085E-03    1.43830E-06    5.77579E-01
        0.420    6.36904E-01    2.34169E-02    1.33514E-03    5.40864E-05    9.66850E-03    2.70898E-06    6.71381E-01
        0.480    7.03334E-01    3.10818E-02    2.01425E-03    8.16294E-05    1.10649E-02    4.63231E-06    7.47581E-01
        0.540    7.51193E-01    3.85173E-02    2.78920E-03    1.13276E-04    1.23629E-02    7.15128E-06    8.04983E-01
        0.600    7.81420E-01    4.54809E-02    3.63837E-03    1.48102E-04    1.35427E-02    1.02899E-05    8.44240E-01
        0.660    7.95722E-01    5.17084E-02    4.52644E-03    1.84687E-04    1.45913E-02    1.39986E-05    8.66747E-01
        0.720    7.96213E-01    5.70569E-02    5.42370E-03    2.21784E-04    1.55018E-02    1.82182E-05    8.74436E-01
        0.780    7.85157E-01    6.14924E-02    6.31051E-03    2.58488E-04    1.62719E-02    2.29094E-05    8.69513E-01
        0.840    7.64781E-01    6.48593E-02    7.13800E-03    2.92958E-04    1.69037E-02    2.78404E-05    8.54003E-01
        0.900    7.37168E-01    6.71963E-02    7.88665E-03    3.24338E-04    1.74023E-02    3.28853E-05    8.30011E-01
        0.960    7.04188E-01    6.85516E-02    8.53758E-03    3.51833E-04    1.77752E-02    3.78899E-05    7.99443E-01
        1.020    6.67470E-01    6.90139E-02    9.08069E-03    3.74981E-04    1.80317E-02    4.27258E-05    7.64014E-01
        1.080    6.28393E-01    6.87028E-02    9.51499E-03    3.93662E-04    1.81820E-02    4.73073E-05    7.25234E-01
        1.140    5.88103E-01    6.76890E-02    9.83040E-03    4.07507E-04    1.82369E-02    5.14676E-05    6.84319E-01
        1.200    5.47525E-01    6.60905E-02    1.00316E-02    4.16656E-04    1.82075E-02    5.51347E-05    6.42327E-01
        1.260    5.07392E-01    6.40134E-02    1.01242E-02    4.21321E-04    1.81048E-02    5.82448E-05    6.00114E-01
        1.320    4.68266E-01    6.15623E-02    1.01179E-02    4.21857E-04    1.79395E-02    6.07681E-05    5.58368E-01
        1.380    4.30567E-01    5.88378E-02    1.00251E-02    4.18745E-04    1.77215E-02    6.27106E-05    5.17633E-01
        1.440    3.94596E-01    5.59115E-02    9.85385E-03    4.12323E-04    1.74603E-02    6.40477E-05    4.78298E-01
        1.500    3.60553E-01    5.28594E-02    9.61651E-03    4.03089E-04    1.71645E-02    6.48081E-05    4.40661E-01
        1.560    3.28559E-01    4.97435E-02    9.32457E-03    3.91508E-04    1.68420E-02    6.50255E-05    4.04926E-01
        1.620    2.98671E-01    4.66177E-02    8.98945E-03    3.78045E-04    1.64997E-02    6.47484E-05    3.71221E-01
        1.680    2.70896E-01    4.35279E-02    8.62241E-03    3.63156E-04    1.61438E-02    6.40385E-05    3.39617E-01
        1.740    2.45203E-01    4.05046E-02    8.23142E-03    3.47187E-04    1.57794E-02    6.29371E-05    3.10128E-01
        1.800    2.21531E-01    3.75760E-02    7.82513E-03    3.30497E-04    1.54112E-02    6.15043E-05    2.82735E-01
        1.860    1.99800E-01    3.47624E-02    7.41073E-03    3.13391E-04    1.50429E-02    5.97954E-05    2.57389E-01
        1.920    1.79915E-01    3.20787E-02    6.99453E-03    2.96135E-04    1.46775E-02    5.78657E-05    2.34019E-01
        1.980    1.61770E-01    2.95358E-02    6.58211E-03    2.78965E-04    1.43177E-02    5.57698E-05    2.12541E-01
        2.040    1.45258E-01    2.71380E-02    6.17708E-03    2.62044E-04    1.39515E-02    5.35470E-05    1.92840E-01
        2.100    1.30266E-01    2.48881E-02    5.78292E-03    2.45525E-04    1.35838E-02    5.12396E-05    1.74818E-01
        2.160    1.16684E-01    2.27859E-02    5.40221E-03    2.29522E-04    1.32253E-02    4.88835E-05    1.58376E-01
        2.220    1.04403E-01    2.08290E-02    5.03693E-03    2.14124E-04    1.28762E-02    4.65102E-05    1.43406E-01
        2.280    9.33182E-02    1.90138E-02    4.68857E-03    1.99399E-04    1.25351E-02    4.41485E-05    1.29799E-01
        2.340    8.33301E-02    1.73348E-02    4.35773E-03    1.85382E-04    1.22042E-02    4.18167E-05    1.17454E-01
