          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.000    3.31239E-07    0.00000E+00    0.00000E+00    0.00000E+00    7.40859E-06    0.00000E+00    7.73983E-06
        0.060    1.02373E-01    1.70571E-04    2.48142E-06    1.60363E-07    1.51692E-03    1.96915E-09    1.04063E-01
        0.120    3.48391E-01    3.44385E-04    4.71729E-06    2.71728E-07    3.05644E-03    2.24611E-09    3.51797E-01
        0.180    6.65065E-01    4.13873E-03    7.78058E-05    3.96868E-06    4.74373E-03    6.57266E-08    6.74029E-01
        0.240    9.99739E-01    1.28345E-02    3.10475E-04    1.58099E-05    6.53302E-03    3.40217E-07    1.01943E+00
        0.300    1.31655E+00    2.57381E-02    7.53623E-04    3.85067E-05    8.36667E-03    1.00071E-06    1.35145E+00
        0.360    1.59311E+00    4.14417E-02    1.42362E-03    7.30304E-05    1.01892E-02    2.20906E-06    1.64624E+00
        0.420    1.81739E+00    5.89639E-02    2.33325E-03    1.19972E-04    1.19519E-02    4.15296E-06    1.89076E+00
        0.480    1.98501E+00    7.76416E-02    3.50349E-03    1.80121E-04    1.36151E-02    7.08456E-06    2.07996E+00
        0.540    2.09691E+00    9.54601E-02    4.82797E-03    2.48675E-04    1.51486E-02    1.09098E-05    2.21261E+00
        0.600    2.15745E+00    1.11837E-01    6.26620E-03    3.23482E-04    1.65311E-02    1.56563E-05    2.29243E+00
        0.660    2.17293E+00    1.26158E-01    7.75517E-03    4.01360E-04    1.77497E-02    2.12392E-05    2.32501E+00
        0.720    2.15051E+00    1.38119E-01    9.24257E-03    4.79557E-04    1.87983E-02    2.75594E-05    2.31718E+00
        0.780    2.09747E+00    1.47684E-01    1.06940E-02    5.56094E-04    1.96766E-02    3.45481E-05    2.27612E+00
        0.840    2.02071E+00    1.54543E-01    1.20277E-02    6.27058E-04    2.03888E-02    4.18494E-05    2.20834E+00
        0.900    1.92646E+00    1.58846E-01    1.32125E-02    6.90696E-04    2.09427E-02    4.92696E-05    2.12021E+00
        0.960    1.82017E+00    1.60766E-01    1.42189E-02    7.45423E-04    2.13483E-02    5.65748E-05    2.01730E+00
        1.020    1.70640E+00    1.60564E-01    1.50330E-02    7.90384E-04    2.16176E-02    6.35729E-05    1.90447E+00
        1.080    1.58894E+00    1.58562E-01    1.56561E-02    8.25461E-04    2.17633E-02    7.01381E-05    1.78582E+00
        1.140    1.47082E+00    1.54970E-01    1.60753E-02    8.50039E-04    2.17987E-02    7.60275E-05    1.66459E+00
        1.200    1.35437E+00    1.50093E-01    1.63018E-02    8.64566E-04    2.17373E-02    8.11409E-05    1.54344E+00
        1.260    1.24137E+00    1.44204E-01    1.63484E-02    8.69631E-04    2.15920E-02    8.53923E-05    1.42447E+00
        1.320    1.13313E+00    1.37560E-01    1.62337E-02    8.66112E-04    2.13754E-02    8.87468E-05    1.30925E+00
        1.380    1.03052E+00    1.30405E-01    1.59810E-02    8.55121E-04    2.10992E-02    9.12229E-05    1.19895E+00
        1.440    9.34103E-01    1.22911E-01    1.56055E-02    8.37477E-04    2.07745E-02    9.27951E-05    1.09432E+00
        1.500    8.44187E-01    1.15254E-01    1.51296E-02    8.14291E-04    2.04112E-02    9.35151E-05    9.95890E-01
        1.560    7.60870E-01    1.07575E-01    1.45732E-02    7.86593E-04    2.00183E-02    9.34421E-05    9.03917E-01
        1.620    6.84097E-01    9.99906E-02    1.39559E-02    7.55392E-04    1.96038E-02    9.26552E-05    8.18496E-01
        1.680    6.13699E-01    9.25986E-02    1.32964E-02    7.21655E-04    1.91747E-02    9.12514E-05    7.39581E-01
        1.740    5.49421E-01    8.54611E-02    1.26080E-02    6.86116E-04    1.87371E-02    8.92979E-05    6.67003E-01
        1.800    4.90955E-01    7.86321E-02    1.19048E-02    6.49517E-04    1.82961E-02    8.68870E-05    6.00524E-01
        1.860    4.37956E-01    7.21478E-02    1.11979E-02    6.12478E-04    1.78559E-02    8.41034E-05    5.39854E-01
        1.920    3.90058E-01    6.60322E-02    1.04973E-02    5.75530E-04    1.74202E-02    8.10297E-05    4.84664E-01
        1.980    3.46888E-01    6.02996E-02    9.81113E-03    5.39131E-04    1.69916E-02    7.77470E-05    4.34607E-01
        2.040    3.08076E-01    5.49506E-02    9.14475E-03    5.03596E-04    1.65515E-02    7.43130E-05    3.89301E-01
        2.100    2.73260E-01    4.99827E-02    8.50298E-03    4.69204E-04    1.61061E-02    7.07893E-05    3.48392E-01
        2.160    2.42094E-01    4.53868E-02    7.88920E-03    4.36159E-04    1.56734E-02    6.72268E-05    3.11546E-01
        2.220    2.14246E-01    4.11504E-02    7.30580E-03    4.04611E-04    1.52513E-02    6.36702E-05    2.78422E-01
        2.280    1.89406E-01    3.72584E-02    6.75448E-03    3.74667E-04    1.48377E-02    6.01591E-05    2.48692E-01
        2.340    1.67285E-01    3.36921E-02    6.23543E-03    3.46370E-04    1.44351E-02    5.67184E-05    2.22051E-01
