          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.000    4.75678E-07    0.00000E+00    0.00000E+00    0.00000E+00    9.29531E-06    0.00000E+00    9.77099E-06
        0.060    1.48638E-01    2.66817E-04    3.47268E-06    2.60255E-07    1.92514E-03    2.69574E-09    1.50834E-01
        0.120    5.11428E-01    5.68306E-04    7.00365E-06    5.04735E-07    3.90724E-03    3.74464E-09    5.15911E-01
        0.180    9.87082E-01    6.90565E-03    1.16334E-04    7.44751E-06    6.10280E-03    1.10832E-07    1.00021E+00
        0.240    1.50020E+00    2.16149E-02    4.65176E-04    2.98942E-05    8.45260E-03    5.74023E-07    1.53076E+00
        0.300    1.99744E+00    4.37220E-02    1.13244E-03    7.32911E-05    1.08809E-02    1.69037E-06    2.05325E+00
        0.360    2.44373E+00    7.09839E-02    2.14716E-03    1.39844E-04    1.33133E-02    3.73807E-06    2.53032E+00
        0.420    2.81856E+00    1.01824E-01    3.53454E-03    2.31061E-04    1.56836E-02    7.04405E-06    2.93984E+00
        0.480    3.11254E+00    1.35179E-01    5.33370E-03    3.48860E-04    1.79362E-02    1.20503E-05    3.27135E+00
        0.540    3.32434E+00    1.67548E-01    7.38759E-03    4.84281E-04    2.00278E-02    1.86104E-05    3.51980E+00
        0.600    3.45811E+00    1.97872E-01    9.63912E-03    6.33376E-04    2.19268E-02    2.67886E-05    3.68820E+00
        0.660    3.52140E+00    2.25002E-01    1.19948E-02    7.90077E-04    2.36126E-02    3.64570E-05    3.78283E+00
        0.720    3.52357E+00    2.48311E-01    1.43761E-02    9.49048E-04    2.50742E-02    4.74634E-05    3.81233E+00
        0.780    3.47464E+00    2.67651E-01    1.67306E-02    1.10640E-03    2.63085E-02    5.97059E-05    3.78650E+00
        0.840    3.38447E+00    2.82343E-01    1.89289E-02    1.25427E-03    2.73191E-02    7.25816E-05    3.71439E+00
        0.900    3.26227E+00    2.92553E-01    2.09192E-02    1.38896E-03    2.81146E-02    8.57629E-05    3.60533E+00
        0.960    3.11632E+00    2.98490E-01    2.26511E-02    1.50707E-03    2.87073E-02    9.88474E-05    3.46778E+00
        1.020    2.95383E+00    3.00539E-01    2.40978E-02    1.60661E-03    2.91122E-02    1.11500E-04    3.30930E+00
        1.080    2.78090E+00    2.99219E-01    2.52562E-02    1.68703E-03    2.93460E-02    1.23497E-04    3.13653E+00
        1.140    2.60260E+00    2.94837E-01    2.60997E-02    1.74675E-03    2.94265E-02    1.34401E-04    2.95484E+00
        1.200    2.42302E+00    2.87907E-01    2.66401E-02    1.78637E-03    2.93715E-02    1.44024E-04    2.76887E+00
        1.260    2.24542E+00    2.78890E-01    2.68926E-02    1.80677E-03    2.91988E-02    1.52198E-04    2.58236E+00
        1.320    2.07227E+00    2.68240E-01    2.68823E-02    1.80946E-03    2.89255E-02    1.58844E-04    2.39828E+00
        1.380    1.90544E+00    2.56397E-01    2.66424E-02    1.79650E-03    2.85680E-02    1.63975E-04    2.21900E+00
        1.440    1.74625E+00    2.43672E-01    2.61936E-02    1.76933E-03    2.81414E-02    1.67527E-04    2.04619E+00
        1.500    1.59560E+00    2.30395E-01    2.55690E-02    1.73008E-03    2.76596E-02    1.69572E-04    1.88112E+00
        1.560    1.45401E+00    2.16838E-01    2.47990E-02    1.68073E-03    2.71352E-02    1.70198E-04    1.72463E+00
        1.620    1.32174E+00    2.03234E-01    2.39138E-02    1.62328E-03    2.65794E-02    1.69530E-04    1.57726E+00
        1.680    1.19883E+00    1.89784E-01    2.29432E-02    1.55969E-03    2.60020E-02    1.67728E-04    1.43928E+00
        1.740    1.08512E+00    1.76622E-01    2.19084E-02    1.49143E-03    2.54115E-02    1.64899E-04    1.31072E+00
        1.800    9.80366E-01    1.63870E-01    2.08325E-02    1.42004E-03    2.48152E-02    1.61200E-04    1.19146E+00
        1.860    8.84197E-01    1.51616E-01    1.97344E-02    1.34683E-03    2.42191E-02    1.56776E-04    1.08127E+00
        1.920    7.96196E-01    1.39927E-01    1.86311E-02    1.27295E-03    2.36281E-02    1.51769E-04    9.79807E-01
        1.980    7.15900E-01    1.28850E-01    1.75372E-02    1.19941E-03    2.30463E-02    1.46323E-04    8.86680E-01
        2.040    6.42826E-01    1.18404E-01    1.64625E-02    1.12691E-03    2.24519E-02    1.40541E-04    8.01412E-01
        2.100    5.76481E-01    1.08600E-01    1.54163E-02    1.05611E-03    2.18610E-02    1.34533E-04    7.23549E-01
        2.160    5.16374E-01    9.94384E-02    1.44054E-02    9.87499E-04    2.12841E-02    1.28393E-04    6.52618E-01
        2.220    4.62025E-01    9.09094E-02    1.34350E-02    9.21462E-04    2.07205E-02    1.22203E-04    5.88134E-01
        2.280    4.12971E-01    8.29974E-02    1.25094E-02    8.58296E-04    2.01706E-02    1.16040E-04    5.29623E-01
        2.340    3.68770E-01    7.56775E-02    1.16300E-02    7.98150E-04    1.96328E-02    1.09951E-04    4.76618E-01
