          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.000    2.14746E-07    0.00000E+00    0.00000E+00    0.00000E+00    6.78541E-06    0.00000E+00    7.00016E-06
        0.060    6.71030E-02    1.22308E-04    2.11126E-06    1.27419E-07    1.40742E-03    1.87251E-09    6.86350E-02
        0.120    2.30885E-01    2.46964E-04    3.96545E-06    2.10862E-07    2.85978E-03    2.05094E-09    2.33996E-01
        0.180    4.45620E-01    2.99601E-03    6.58014E-05    3.10466E-06    4.47083E-03    6.02670E-08    4.53156E-01
        0.240    6.77267E-01    9.37404E-03    2.63051E-04    1.24541E-05    6.19683E-03    3.11874E-07    6.93114E-01
        0.300    9.01748E-01    1.89574E-02    6.40284E-04    3.05217E-05    7.98198E-03    9.18049E-07    9.29359E-01
        0.360    1.10323E+00    3.07727E-02    1.21381E-03    5.82195E-05    9.77148E-03    2.02957E-06    1.14505E+00
        0.420    1.27245E+00    4.41363E-02    1.99776E-03    9.61685E-05    1.15164E-02    3.82345E-06    1.33020E+00
        0.480    1.40516E+00    5.85879E-02    3.01424E-03    1.45165E-04    1.31757E-02    6.53922E-06    1.48009E+00
        0.540    1.50078E+00    7.26092E-02    4.17436E-03    2.01476E-04    1.47175E-02    1.00969E-05    1.59249E+00
        0.600    1.56117E+00    8.57426E-02    5.44583E-03    2.63455E-04    1.61182E-02    1.45307E-05    1.66875E+00
        0.660    1.58974E+00    9.74896E-02    6.77577E-03    3.28579E-04    1.73625E-02    1.97709E-05    1.71172E+00
        0.720    1.59072E+00    1.07580E-01    8.11976E-03    3.94627E-04    1.84422E-02    2.57345E-05    1.72529E+00
        0.780    1.56863E+00    1.15950E-01    9.44834E-03    4.59988E-04    1.93548E-02    3.23659E-05    1.71388E+00
        0.840    1.52793E+00    1.22306E-01    1.06884E-02    5.21385E-04    2.01030E-02    3.93380E-05    1.68158E+00
        0.900    1.47276E+00    1.26719E-01    1.18106E-02    5.77294E-04    2.06927E-02    4.64731E-05    1.63261E+00
        0.960    1.40687E+00    1.29282E-01    1.27866E-02    6.26298E-04    2.11331E-02    5.35531E-05    1.57075E+00
        1.020    1.33351E+00    1.30161E-01    1.36014E-02    6.67571E-04    2.14351E-02    6.03964E-05    1.49944E+00
        1.080    1.25544E+00    1.29580E-01    1.42533E-02    7.00897E-04    2.16110E-02    6.68821E-05    1.42165E+00
        1.140    1.17495E+00    1.27674E-01    1.47273E-02    7.25616E-04    2.16737E-02    7.27739E-05    1.33982E+00
        1.200    1.09388E+00    1.24665E-01    1.50301E-02    7.41977E-04    2.16364E-02    7.79698E-05    1.25603E+00
        1.260    1.01370E+00    1.20753E-01    1.51705E-02    7.50354E-04    2.15122E-02    8.23795E-05    1.17197E+00
        1.320    9.35529E-01    1.16135E-01    1.51626E-02    7.51379E-04    2.13137E-02    8.59601E-05    1.08898E+00
        1.380    8.60213E-01    1.11000E-01    1.50251E-02    7.45903E-04    2.10528E-02    8.87202E-05    1.00813E+00
        1.440    7.88348E-01    1.05484E-01    1.47699E-02    7.34531E-04    2.07408E-02    9.06245E-05    9.30168E-01
        1.500    7.20335E-01    9.97305E-02    1.44157E-02    7.18146E-04    2.03879E-02    9.17132E-05    8.55679E-01
        1.560    6.56415E-01    9.38562E-02    1.39795E-02    6.97576E-04    2.00033E-02    9.20339E-05    7.85044E-01
        1.620    5.96703E-01    8.79625E-02    1.34785E-02    6.73650E-04    1.95954E-02    9.16547E-05    7.18505E-01
        1.680    5.41213E-01    8.21360E-02    1.29296E-02    6.47177E-04    1.91714E-02    9.06627E-05    6.56187E-01
        1.740    4.89881E-01    7.64348E-02    1.23446E-02    6.18776E-04    1.87376E-02    8.91162E-05    5.98106E-01
        1.800    4.42588E-01    7.09116E-02    1.17366E-02    5.89084E-04    1.82993E-02    8.70999E-05    5.44212E-01
        1.860    3.99172E-01    6.56049E-02    1.11162E-02    5.58644E-04    1.78610E-02    8.46922E-05    4.94398E-01
        1.920    3.59444E-01    6.05430E-02    1.04931E-02    5.27934E-04    1.74264E-02    8.19709E-05    4.48517E-01
        1.980    3.23195E-01    5.57465E-02    9.87550E-03    4.97370E-04    1.69984E-02    7.90136E-05    4.06391E-01
        2.040    2.90205E-01    5.12234E-02    9.26886E-03    4.67246E-04    1.65606E-02    7.58756E-05    3.67801E-01
        2.100    2.60254E-01    4.69790E-02    8.67842E-03    4.37832E-04    1.61258E-02    7.26170E-05    3.32547E-01
        2.160    2.33118E-01    4.30129E-02    8.10803E-03    4.09334E-04    1.56975E-02    6.92882E-05    3.00415E-01
        2.220    2.08582E-01    3.93208E-02    7.56063E-03    3.81909E-04    1.52842E-02    6.59342E-05    2.71196E-01
        2.280    1.86437E-01    3.58961E-02    7.03852E-03    3.55681E-04    1.48764E-02    6.25955E-05    2.44666E-01
        2.340    1.66482E-01    3.27279E-02    6.54263E-03    3.30712E-04    1.44843E-02    5.92984E-05    2.20627E-01
