          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.000    1.30083E-07    0.00000E+00    0.00000E+00    0.00000E+00    5.39472E-06    0.00000E+00    5.52480E-06
        0.060    4.02038E-02    7.18800E-05    1.45453E-06    7.70357E-08    1.10773E-03    1.41508E-09    4.13849E-02
        0.120    1.36819E-01    1.37426E-04    2.56979E-06    1.10076E-07    2.23701E-03    1.25136E-09    1.39197E-01
        0.180    2.61183E-01    1.64854E-03    4.23362E-05    1.60318E-06    3.47829E-03    3.62923E-08    2.66354E-01
        0.240    3.92615E-01    5.10932E-03    1.68872E-04    6.37991E-06    4.79748E-03    1.87631E-07    4.02698E-01
        0.300    5.17035E-01    1.02423E-02    4.09785E-04    1.55283E-05    6.15184E-03    5.51530E-07    5.33855E-01
        0.360    6.25644E-01    1.64865E-02    7.73872E-04    2.94342E-05    7.50011E-03    1.21685E-06    6.50435E-01
        0.420    7.13722E-01    2.34515E-02    1.26796E-03    4.83307E-05    8.80613E-03    2.28651E-06    7.47298E-01
        0.480    7.79550E-01    3.08742E-02    1.90343E-03    7.25339E-05    1.00403E-02    3.89891E-06    8.22444E-01
        0.540    8.23496E-01    3.79528E-02    2.62235E-03    1.00104E-04    1.11798E-02    6.00168E-06    8.75357E-01
        0.600    8.47271E-01    4.44563E-02    3.40269E-03    1.30175E-04    1.22088E-02    8.60950E-06    9.07477E-01
        0.660    8.53348E-01    5.01411E-02    4.21018E-03    1.61466E-04    1.31173E-02    1.16752E-05    9.20990E-01
        0.720    8.44544E-01    5.48868E-02    5.01644E-03    1.92868E-04    1.39005E-02    1.51440E-05    9.18556E-01
        0.780    8.23714E-01    5.86799E-02    5.80282E-03    2.23590E-04    1.45581E-02    1.89777E-05    9.02998E-01
        0.840    7.93569E-01    6.13970E-02    6.52499E-03    2.52058E-04    1.50928E-02    2.29805E-05    8.76859E-01
        0.900    7.56557E-01    6.30986E-02    7.16600E-03    2.77568E-04    1.55102E-02    2.70460E-05    8.42637E-01
        0.960    7.14812E-01    6.38533E-02    7.71000E-03    2.99488E-04    1.58177E-02    3.10457E-05    8.02523E-01
        1.020    6.70134E-01    6.37650E-02    8.14947E-03    3.17477E-04    1.60238E-02    3.48744E-05    7.58425E-01
        1.080    6.24007E-01    6.29626E-02    8.48518E-03    3.31490E-04    1.61380E-02    3.84632E-05    7.11963E-01
        1.140    5.77616E-01    6.15290E-02    8.71026E-03    3.41281E-04    1.61701E-02    4.16791E-05    6.64408E-01
        1.200    5.31884E-01    5.95859E-02    8.83079E-03    3.47035E-04    1.61299E-02    4.44675E-05    6.16822E-01
        1.260    4.87510E-01    5.72411E-02    8.85384E-03    3.48990E-04    1.60271E-02    4.67818E-05    5.70028E-01
        1.320    4.45000E-01    5.45977E-02    8.78953E-03    3.47500E-04    1.58709E-02    4.86032E-05    5.24654E-01
        1.380    4.04703E-01    5.17518E-02    8.65048E-03    3.43014E-04    1.56700E-02    4.99425E-05    4.81168E-01
        1.440    3.66839E-01    4.87723E-02    8.44508E-03    3.35862E-04    1.54327E-02    5.07859E-05    4.39876E-01
        1.500    3.31528E-01    4.57288E-02    8.18538E-03    3.26490E-04    1.51664E-02    5.11624E-05    4.00986E-01
        1.560    2.98808E-01    4.26771E-02    7.88228E-03    3.15315E-04    1.48777E-02    5.11047E-05    3.64611E-01
        1.620    2.68657E-01    3.96637E-02    7.54635E-03    3.02740E-04    1.45725E-02    5.06566E-05    3.30793E-01
        1.680    2.41010E-01    3.67272E-02    7.18777E-03    2.89154E-04    1.42563E-02    4.98714E-05    2.99521E-01
        1.740    2.15767E-01    3.38923E-02    6.81377E-03    2.74852E-04    1.39333E-02    4.87863E-05    2.70731E-01
        1.800    1.92807E-01    3.11803E-02    6.43188E-03    2.60131E-04    1.36076E-02    4.74520E-05    2.44334E-01
        1.860    1.71993E-01    2.86057E-02    6.04827E-03    2.45240E-04    1.32823E-02    4.59149E-05    2.20221E-01
        1.920    1.53183E-01    2.61777E-02    5.66819E-03    2.30393E-04    1.29600E-02    4.42205E-05    1.98263E-01
        1.980    1.36229E-01    2.39021E-02    5.29612E-03    2.15771E-04    1.26428E-02    4.24131E-05    1.78328E-01
        2.040    1.20987E-01    2.17791E-02    4.93492E-03    2.01501E-04    1.23157E-02    4.05244E-05    1.60259E-01
        2.100    1.07314E-01    1.98076E-02    4.58719E-03    1.87695E-04    1.19866E-02    3.85880E-05    1.43922E-01
        2.160    9.50745E-02    1.79840E-02    4.25475E-03    1.74433E-04    1.16641E-02    3.66318E-05    1.29188E-01
        2.220    8.41382E-02    1.63032E-02    3.93888E-03    1.61776E-04    1.13509E-02    3.46803E-05    1.15928E-01
        2.280    7.43832E-02    1.47592E-02    3.64046E-03    1.49766E-04    1.10439E-02    3.27548E-05    1.04009E-01
        2.340    6.56958E-02    1.33446E-02    3.35963E-03    1.38419E-04    1.07455E-02    3.08691E-05    9.33149E-02
