          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.000    2.10953E-07    0.00000E+00    0.00000E+00    0.00000E+00    6.43142E-06    0.00000E+00    6.64238E-06
        0.060    6.51973E-02    1.13281E-04    1.93097E-06    1.13907E-07    1.31837E-03    1.69183E-09    6.66310E-02
        0.120    2.21876E-01    2.23269E-04    3.55403E-06    1.79249E-07    2.65881E-03    1.72723E-09    2.24762E-01
        0.180    4.23553E-01    2.68106E-03    5.85899E-05    2.61492E-06    4.12965E-03    5.03547E-08    4.30425E-01
        0.240    6.36693E-01    8.31218E-03    2.33759E-04    1.04125E-05    5.69080E-03    2.60517E-07    6.50941E-01
        0.300    8.38461E-01    1.66665E-02    5.67341E-04    2.53536E-05    7.29184E-03    7.66076E-07    8.63012E-01
        0.360    1.01459E+00    2.68320E-02    1.07160E-03    4.80740E-05    8.88417E-03    1.69074E-06    1.05143E+00
        0.420    1.15742E+00    3.81731E-02    1.75609E-03    7.89591E-05    1.04252E-02    3.17789E-06    1.20786E+00
        0.480    1.26417E+00    5.02611E-02    2.63658E-03    1.18527E-04    1.18802E-02    5.42024E-06    1.32908E+00
        0.540    1.33544E+00    6.17912E-02    3.63296E-03    1.63615E-04    1.32225E-02    8.34550E-06    1.41426E+00
        0.600    1.37399E+00    7.23869E-02    4.71473E-03    2.12805E-04    1.44334E-02    1.19745E-05    1.46575E+00
        0.660    1.38385E+00    8.16509E-02    5.83444E-03    2.64005E-04    1.55015E-02    1.62419E-05    1.48712E+00
        0.720    1.36957E+00    8.93867E-02    6.95276E-03    3.15403E-04    1.64212E-02    2.10720E-05    1.48267E+00
        0.780    1.33579E+00    9.55718E-02    8.04380E-03    3.65702E-04    1.71923E-02    2.64118E-05    1.45699E+00
        0.840    1.28691E+00    1.00005E-01    9.04615E-03    4.12326E-04    1.78184E-02    3.19892E-05    1.41422E+00
        0.900    1.22689E+00    1.02784E-01    9.93623E-03    4.54125E-04    1.83060E-02    3.76559E-05    1.35841E+00
        0.960    1.15919E+00    1.04021E-01    1.06921E-02    4.90058E-04    1.86640E-02    4.32331E-05    1.29310E+00
        1.020    1.08674E+00    1.03885E-01    1.13031E-02    5.19566E-04    1.89026E-02    4.85743E-05    1.22140E+00
        1.080    1.01193E+00    1.02585E-01    1.17704E-02    5.42573E-04    1.90330E-02    5.35834E-05    1.14592E+00
        1.140    9.36703E-01    1.00256E-01    1.20844E-02    5.58675E-04    1.90668E-02    5.80748E-05    1.06873E+00
        1.200    8.62542E-01    9.70966E-02    1.22534E-02    5.68169E-04    1.90156E-02    6.19723E-05    9.91537E-01
        1.260    7.90582E-01    9.32821E-02    1.22871E-02    5.71445E-04    1.88909E-02    6.52105E-05    9.15678E-01
        1.320    7.21644E-01    8.89803E-02    1.21997E-02    5.69081E-04    1.87036E-02    6.77628E-05    8.42165E-01
        1.380    6.56295E-01    8.43479E-02    1.20085E-02    5.61808E-04    1.84640E-02    6.96438E-05    7.71747E-01
        1.440    5.94893E-01    7.94972E-02    1.17252E-02    5.50166E-04    1.81817E-02    7.08342E-05    7.04918E-01
        1.500    5.37629E-01    7.45413E-02    1.13663E-02    5.34885E-04    1.78654E-02    7.13737E-05    6.42008E-01
        1.560    4.84568E-01    6.95714E-02    1.09472E-02    5.16644E-04    1.75231E-02    7.13078E-05    5.83197E-01
        1.620    4.35674E-01    6.46635E-02    1.04823E-02    4.96105E-04    1.71617E-02    7.06971E-05    5.28548E-01
        1.680    3.90840E-01    5.98803E-02    9.98579E-03    4.73905E-04    1.67873E-02    6.96159E-05    4.78037E-01
        1.740    3.49904E-01    5.52620E-02    9.46774E-03    4.50525E-04    1.64054E-02    6.81155E-05    4.31558E-01
        1.800    3.12670E-01    5.08437E-02    8.93859E-03    4.26453E-04    1.60203E-02    6.62667E-05    3.88965E-01
        1.860    2.78916E-01    4.66487E-02    8.40689E-03    4.02096E-04    1.56359E-02    6.41340E-05    3.50074E-01
        1.920    2.48412E-01    4.26924E-02    7.87993E-03    3.77804E-04    1.52552E-02    6.17807E-05    3.14679E-01
        1.980    2.20919E-01    3.89840E-02    7.36397E-03    3.53876E-04    1.48807E-02    5.92687E-05    2.82561E-01
        2.040    1.96201E-01    3.55241E-02    6.86295E-03    3.30519E-04    1.44948E-02    5.66420E-05    2.53470E-01
        2.100    1.74028E-01    3.23107E-02    6.38051E-03    3.07916E-04    1.41065E-02    5.39477E-05    2.27188E-01
        2.160    1.54180E-01    2.93382E-02    5.91919E-03    2.86201E-04    1.37279E-02    5.12246E-05    2.03502E-01
        2.220    1.36444E-01    2.65983E-02    5.48078E-03    2.65473E-04    1.33580E-02    4.85068E-05    1.82196E-01
        2.280    1.20625E-01    2.40813E-02    5.06648E-03    2.45801E-04    1.29966E-02    4.58244E-05    1.63061E-01
        2.340    1.06537E-01    2.17750E-02    4.67656E-03    2.27213E-04    1.26436E-02    4.31965E-05    1.45903E-01
