          %pt            TT            TS            SS            SS2j            Tot
        0.175    1.53972E+01    3.92853E-01    2.56003E-01    2.19539E-04    1.60462E+01
        0.251    1.26591E+01    4.55877E-01    1.70058E-01    3.43811E-04    1.32854E+01
        0.349    9.86516E+00    4.82805E-01    1.18302E-01    4.93278E-04    1.04668E+01
        0.448    7.64367E+00    4.83177E-01    8.92023E-02    6.25316E-04    8.21668E+00
        0.548    5.91776E+00    4.57880E-01    7.05724E-02    7.20837E-04    6.44693E+00
        0.648    4.58087E+00    4.17294E-01    5.75094E-02    7.75266E-04    5.05645E+00
        0.747    3.55407E+00    3.69836E-01    4.78625E-02    7.90714E-04    3.97256E+00
        0.847    2.74897E+00    3.19997E-01    4.02913E-02    7.73560E-04    3.11003E+00
        0.948    2.12447E+00    2.72017E-01    3.42470E-02    7.31617E-04    2.43147E+00
        1.048    1.64221E+00    2.28283E-01    2.93477E-02    6.73593E-04    1.90051E+00
        1.148    1.26944E+00    1.89753E-01    2.53182E-02    6.07082E-04    1.48512E+00
        1.247    9.86213E-01    1.57245E-01    2.20311E-02    5.39422E-04    1.16603E+00
        1.348    7.60557E-01    1.28943E-01    1.91996E-02    4.71529E-04    9.09172E-01
        1.448    5.88312E-01    1.05647E-01    1.68492E-02    4.08882E-04    7.11217E-01
        1.548    4.55203E-01    8.64141E-02    1.48679E-02    3.52183E-04    5.56837E-01
        1.648    3.52166E-01    7.06101E-02    1.31901E-02    3.01889E-04    4.36268E-01
        1.748    2.72592E-01    5.77111E-02    1.17690E-02    2.58077E-04    3.42330E-01
        1.849    2.10760E-01    4.71468E-02    1.05549E-02    2.20094E-04    2.68681E-01
        1.949    1.63124E-01    3.85838E-02    9.52407E-03    1.87697E-04    2.11420E-01
        2.049    1.26243E-01    3.16142E-02    8.66969E-03    1.60073E-04    1.66687E-01
        2.148    9.77247E-02    2.59507E-02    7.89091E-03    1.36627E-04    1.31703E-01
        2.248    7.56489E-02    2.13411E-02    7.21628E-03    1.16743E-04    1.04323E-01
        2.348    5.85090E-02    1.75746E-02    6.62749E-03    9.98400E-05    8.28109E-02
        2.448    4.52768E-02    1.45106E-02    6.11121E-03    8.55514E-05    6.59842E-02
        2.548    3.50372E-02    1.20088E-02    5.65448E-03    7.34378E-05    5.27739E-02
        2.648    2.71057E-02    9.96056E-03    5.24681E-03    6.31475E-05    4.23762E-02
        2.748    2.09826E-02    8.28627E-03    4.87995E-03    5.44233E-05    3.42032E-02
        2.848    1.62335E-02    6.90870E-03    4.54616E-03    4.69826E-05    2.77353E-02
        2.949    1.25554E-02    5.77440E-03    4.23957E-03    4.06342E-05    2.26101E-02
        3.094    8.64472E-03    4.47176E-03    3.82429E-03    3.30142E-05    1.69738E-02
        3.295    5.17026E-03    3.17523E-03    3.32336E-03    2.49887E-05    1.16938E-02
        3.495    3.09447E-03    2.28156E-03    2.87319E-03    1.90738E-05    8.26829E-03
        3.695    1.85336E-03    1.65903E-03    2.46600E-03    1.46788E-05    5.99307E-03
        3.895    1.10954E-03    1.21993E-03    2.10017E-03    1.13814E-05    4.44102E-03
        4.183    5.30411E-04    7.99163E-04    1.64774E-03    7.99403E-06    2.98531E-03
        4.584    1.89477E-04    4.60232E-04    1.16659E-03    5.00758E-06    1.82130E-03
        4.985    6.77558E-05    2.76089E-04    8.30627E-04    3.22169E-06    1.17769E-03
        5.386    2.42427E-05    1.71745E-04    6.00984E-04    2.12314E-06    7.99095E-04
        5.786    8.68615E-06    1.10320E-04    4.43495E-04    1.43010E-06    5.63931E-04
