          %pt            TT            TS            SS            SS2j            Tot
        0.550    1.73109E+01    1.45347E+00    1.44861E-01    2.51600E-03    1.89118E+01
        0.650    1.36432E+01    1.33910E+00    1.17892E-01    2.72164E-03    1.51029E+01
        0.750    1.07526E+01    1.19840E+00    9.78611E-02    2.79205E-03    1.20516E+01
        0.850    8.47441E+00    1.04904E+00    8.23584E-02    2.74740E-03    9.60856E+00
        0.950    6.67891E+00    9.03002E-01    7.00165E-02    2.61530E-03    7.65455E+00
        1.125    4.40301E+00    6.75361E-01    5.36668E-02    2.25908E-03    5.13430E+00
        1.375    2.42796E+00    4.29795E-01    3.78712E-02    1.67848E-03    2.89730E+00
        1.625    1.33885E+00    2.68340E-01    2.76223E-02    1.18023E-03    1.63599E+00
        1.875    7.38285E-01    1.67204E-01    2.08387E-02    8.12632E-04    9.27141E-01
