          %pt            TT            TS            SS            SS2j            Tot
        0.250    7.75285E+00    3.73076E-01    2.01832E-01    3.93154E-04    8.32815E+00
        0.350    6.11024E+00    4.10471E-01    1.38205E-01    5.80841E-04    6.65949E+00
        0.450    4.81565E+00    4.14970E-01    1.03889E-01    7.40704E-04    5.33525E+00
        0.550    3.79534E+00    3.97296E-01    8.21057E-02    8.58139E-04    4.27560E+00
        0.650    2.99122E+00    3.65884E-01    6.68852E-02    9.27565E-04    3.42491E+00
        0.750    2.35746E+00    3.27312E-01    5.55765E-02    9.50883E-04    2.74130E+00
        0.850    1.85798E+00    2.86414E-01    4.68213E-02    9.35038E-04    2.19215E+00
        0.950    1.46432E+00    2.46452E-01    3.98484E-02    8.89489E-04    1.75151E+00
        1.125    9.65342E-01    1.84206E-01    3.06048E-02    7.67457E-04    1.18092E+00
        1.375    5.32320E-01    1.17117E-01    2.16622E-02    5.69281E-04    6.71669E-01
        1.625    2.93538E-01    7.30472E-02    1.58480E-02    3.99614E-04    3.82833E-01
        1.875    1.61866E-01    4.54647E-02    1.19912E-02    2.74660E-04    2.19596E-01
        2.125    8.92580E-02    2.84401E-02    9.39089E-03    1.88291E-04    1.27277E-01
        2.375    4.92196E-02    1.79834E-02    7.55205E-03    1.29949E-04    7.48850E-02
        2.750    2.01547E-02    9.26562E-03    5.67865E-03    7.60362E-05    3.51750E-02
        3.250    6.12856E-03    4.03756E-03    4.04429E-03    3.88750E-05    1.42493E-02
        3.750    1.86355E-03    1.87810E-03    2.84365E-03    2.08792E-05    6.60618E-03
        4.500    3.12475E-04    6.72107E-04    1.58624E-03    8.93647E-06    2.57975E-03
        5.500    2.88922E-05    2.08228E-04    7.45700E-04    3.28746E-06    9.86109E-04
        7.000    8.12323E-07    4.87618E-05    2.92368E-04    9.03598E-07    3.42845E-04
        9.000    6.94480E-09    9.85307E-06    1.09690E-04    2.07918E-07    1.19758E-04
