          %pt            TT            TS            SS            SS2j            Tot
        0.550    1.28149E+01    1.08253E+00    1.24595E-01    1.88565E-03    1.40239E+01
        0.650    1.00998E+01    9.97258E-01    1.01421E-01    2.03942E-03    1.12005E+01
        0.750    7.95993E+00    8.92395E-01    8.42070E-02    2.09185E-03    8.93862E+00
        0.850    6.27344E+00    7.81113E-01    7.08836E-02    2.05809E-03    7.12750E+00
        0.950    4.94427E+00    6.72316E-01    6.02759E-02    1.95884E-03    5.67882E+00
        1.125    3.25947E+00    5.02758E-01    4.62213E-02    1.69160E-03    3.81014E+00
        1.375    1.79737E+00    3.19884E-01    3.26389E-02    1.25638E-03    2.15115E+00
        1.625    9.91127E-01    1.99672E-01    2.38221E-02    8.83094E-04    1.21550E+00
        1.875    5.46538E-01    1.24385E-01    1.79835E-02    6.07799E-04    6.89515E-01
