          %pt            TT            TS            SS            SS2j            Tot
        0.550    2.17759E+01    1.91702E+00    1.71360E-01    3.47875E-03    2.38677E+01
        0.650    1.71622E+01    1.76632E+00    1.39431E-01    3.76365E-03    1.90717E+01
        0.750    1.35260E+01    1.58085E+00    1.15717E-01    3.86157E-03    1.52264E+01
        0.850    1.06602E+01    1.38394E+00    9.73657E-02    3.80034E-03    1.21453E+01
        0.950    8.40159E+00    1.19136E+00    8.27572E-02    3.61810E-03    9.67933E+00
        1.125    5.53867E+00    8.91145E-01    6.34074E-02    3.12602E-03    6.49635E+00
        1.375    3.05419E+00    5.67228E-01    4.47185E-02    2.32341E-03    3.66846E+00
        1.625    1.68418E+00    3.54221E-01    3.25970E-02    1.63429E-03    2.07263E+00
        1.875    9.28709E-01    2.20770E-01    2.45774E-02    1.12569E-03    1.17518E+00
