          %pt            TT            TS            SS            SS2j            Tot
        0.175    1.07181E+01    2.47942E-01    1.85260E-01    1.25708E-04    1.11514E+01
        0.251    8.81213E+00    2.87516E-01    1.23296E-01    1.96602E-04    9.22314E+00
        0.349    6.86722E+00    3.04305E-01    8.59136E-02    2.81716E-04    7.25773E+00
        0.448    5.32083E+00    3.04379E-01    6.48689E-02    3.56769E-04    5.69043E+00
        0.548    4.11941E+00    2.88312E-01    5.13857E-02    4.10918E-04    4.45951E+00
        0.648    3.18878E+00    2.62648E-01    4.19269E-02    4.41608E-04    3.49380E+00
        0.747    2.47402E+00    2.32686E-01    3.49389E-02    4.50088E-04    2.74210E+00
        0.847    1.91358E+00    2.01253E-01    2.94522E-02    4.40020E-04    2.14472E+00
        0.948    1.47887E+00    1.71012E-01    2.50697E-02    4.15880E-04    1.67536E+00
        1.048    1.14315E+00    1.43463E-01    2.15152E-02    3.82639E-04    1.30851E+00
        1.148    8.83671E-01    1.19202E-01    1.85896E-02    3.44624E-04    1.02181E+00
        1.247    6.86512E-01    9.87417E-02    1.62009E-02    3.06010E-04    8.01760E-01
        1.348    5.29431E-01    8.09357E-02    1.41412E-02    2.67307E-04    6.24775E-01
        1.448    4.09529E-01    6.62843E-02    1.24297E-02    2.31628E-04    4.88475E-01
        1.548    3.16871E-01    5.41926E-02    1.09854E-02    1.99363E-04    3.82248E-01
        1.648    2.45146E-01    4.42603E-02    9.76087E-03    1.70765E-04    2.99338E-01
        1.748    1.89753E-01    3.61566E-02    8.72250E-03    1.45870E-04    2.34778E-01
        1.849    1.46712E-01    2.95221E-02    7.83438E-03    1.24303E-04    1.84192E-01
        1.949    1.13552E-01    2.41466E-02    7.07940E-03    1.05920E-04    1.44884E-01
        2.049    8.78786E-02    1.97731E-02    6.45344E-03    9.02551E-05    1.14195E-01
        2.148    6.80270E-02    1.62207E-02    5.88113E-03    7.69692E-05    9.02058E-02
        2.248    5.26599E-02    1.33307E-02    5.38472E-03    6.57095E-05    7.14410E-02
        2.348    4.07286E-02    1.09702E-02    4.95091E-03    5.61448E-05    5.67059E-02
        2.448    3.15176E-02    9.05110E-03    4.56998E-03    4.80652E-05    4.51867E-02
        2.548    2.43897E-02    7.48484E-03    4.23249E-03    4.12205E-05    3.61483E-02
        2.648    1.88685E-02    6.20327E-03    3.93079E-03    3.54104E-05    2.90380E-02
        2.748    1.46062E-02    5.15627E-03    3.65885E-03    3.04884E-05    2.34518E-02
        2.848    1.13003E-02    4.29533E-03    3.41101E-03    2.62938E-05    1.90329E-02
        2.949    8.73996E-03    3.58688E-03    3.18299E-03    2.27178E-05    1.55325E-02
        3.094    6.01767E-03    2.77393E-03    2.87322E-03    1.84298E-05    1.16832E-02
        3.295    3.59907E-03    1.96578E-03    2.49877E-03    1.39202E-05    8.07754E-03
        3.495    2.15409E-03    1.40958E-03    2.16122E-03    1.06024E-05    5.73550E-03
        3.695    1.29014E-03    1.02277E-03    1.85516E-03    8.14172E-06    4.17622E-03
        3.895    7.72363E-04    7.50407E-04    1.57967E-03    6.29895E-06    3.10874E-03
        4.183    3.69224E-04    4.89981E-04    1.23852E-03    4.41012E-06    2.10213E-03
        4.584    1.31897E-04    2.80898E-04    8.75553E-04    2.75048E-06    1.29110E-03
        4.985    4.71654E-05    1.67765E-04    6.22241E-04    1.76198E-06    8.38934E-04
        5.386    1.68755E-05    1.03923E-04    4.49293E-04    1.15637E-06    5.71248E-04
        5.786    6.04651E-06    6.64930E-05    3.30846E-04    7.75817E-07    4.04162E-04
