          %pt            TT            TS            SS            SS2j            Tot
        0.550    8.07866E+00    7.23046E-01    1.03844E-01    1.33476E-03    8.90689E+00
        0.650    6.36702E+00    6.66005E-01    8.45546E-02    1.44326E-03    7.11902E+00
        0.750    5.01802E+00    5.95902E-01    7.02255E-02    1.48003E-03    5.68563E+00
        0.850    3.95484E+00    5.21532E-01    5.91336E-02    1.45583E-03    4.53696E+00
        0.950    3.11692E+00    4.48840E-01    5.03013E-02    1.38534E-03    3.61745E+00
        1.125    2.05480E+00    3.35576E-01    3.85966E-02    1.19591E-03    2.43017E+00
        1.375    1.13308E+00    2.13450E-01    2.72803E-02    8.87773E-04    1.37470E+00
        1.625    6.24816E-01    1.33193E-01    1.99299E-02    6.23672E-04    7.78563E-01
        1.875    3.44543E-01    8.29431E-02    1.50590E-02    4.29010E-04    4.42974E-01
