          %pt            TT            TS            SS            SS2j            Tot
        0.176    5.71272E+01    1.49175E+00    5.36578E-01    8.55182E-04    5.91564E+01
        0.252    4.70545E+01    1.73379E+00    3.57316E-01    1.33679E-03    4.91469E+01
        0.349    3.66638E+01    1.83779E+00    2.47992E-01    1.92144E-03    3.87516E+01
        0.448    2.84100E+01    1.84066E+00    1.86666E-01    2.43886E-03    3.04398E+01
        0.548    2.20018E+01    1.74567E+00    1.47458E-01    2.81442E-03    2.38978E+01
        0.648    1.70303E+01    1.59190E+00    1.19938E-01    3.03046E-03    1.87452E+01
        0.747    1.32161E+01    1.41190E+00    9.96469E-02    3.09418E-03    1.47308E+01
        0.847    1.02211E+01    1.22229E+00    8.37082E-02    3.03030E-03    1.15301E+01
        0.947    7.90314E+00    1.04001E+00    7.10217E-02    2.86944E-03    9.01704E+00
        1.048    6.11064E+00    8.73511E-01    6.07348E-02    2.64504E-03    7.04754E+00
        1.148    4.72457E+00    7.26655E-01    5.22808E-02    2.38676E-03    5.50589E+00
        1.248    3.65664E+00    6.00802E-01    4.52932E-02    2.11919E-03    4.30486E+00
        1.348    2.82938E+00    4.94276E-01    3.94482E-02    1.85764E-03    3.36496E+00
        1.448    2.18838E+00    4.05227E-01    3.45337E-02    1.61260E-03    2.62975E+00
        1.548    1.69381E+00    3.31788E-01    3.04044E-02    1.39089E-03    2.05739E+00
        1.648    1.31058E+00    2.71346E-01    2.69102E-02    1.19380E-03    1.61003E+00
        1.748    1.01481E+00    2.22020E-01    2.39581E-02    1.02204E-03    1.26181E+00
        1.848    7.84619E-01    1.81534E-01    2.14367E-02    8.72740E-04    9.88462E-01
        1.948    6.06830E-01    1.48610E-01    1.92937E-02    7.44906E-04    7.75479E-01
        2.048    4.69688E-01    1.21894E-01    1.75219E-02    6.36177E-04    6.09740E-01
        2.148    3.63475E-01    1.00133E-01    1.59155E-02    5.43640E-04    4.80068E-01
        2.248    2.81583E-01    8.24823E-02    1.45294E-02    4.65392E-04    3.79060E-01
        2.348    2.17734E-01    6.79877E-02    1.33197E-02    3.98527E-04    2.99440E-01
        2.448    1.68475E-01    5.61952E-02    1.22616E-02    3.41972E-04    2.37274E-01
        2.548    1.30373E-01    4.65625E-02    1.13279E-02    2.93990E-04    1.88558E-01
        2.648    1.00863E-01    3.86703E-02    1.04965E-02    2.53184E-04    1.50283E-01
        2.748    7.80782E-02    3.22123E-02    9.75016E-03    2.18543E-04    1.20259E-01
        2.848    6.03909E-02    2.68889E-02    9.07269E-03    1.88935E-04    9.65415E-02
        2.948    4.67320E-02    2.25138E-02    8.45269E-03    1.63712E-04    7.78621E-02
        3.094    3.22025E-02    1.74818E-02    7.61625E-03    1.33382E-04    5.74339E-02
        3.294    1.92642E-02    1.24530E-02    6.61087E-03    1.01302E-04    3.84294E-02
        3.494    1.15316E-02    8.97755E-03    5.71173E-03    7.75866E-05    2.62985E-02
        3.694    6.90591E-03    6.54921E-03    4.90155E-03    5.99075E-05    1.84166E-02
        3.895    4.12819E-03    4.82817E-03    4.17464E-03    4.65775E-05    1.31776E-02
        4.180    1.98503E-03    3.18834E-03    3.28255E-03    3.29544E-05    8.48887E-03
        4.583    7.07435E-04    1.84639E-03    2.32883E-03    2.07606E-05    4.90342E-03
        4.984    2.52488E-04    1.11397E-03    1.66260E-03    1.34339E-05    3.04249E-03
        5.387    9.00060E-05    6.96223E-04    1.20597E-03    8.89772E-06    2.00110E-03
        5.787    3.22698E-05    4.49965E-04    8.92989E-04    6.03084E-06    1.38125E-03
